2020-12-25  1  10  100
2021-01-01  1  10  100
2021-01-01  2  5  200
2021-01-01  01  010  0100
2021-01-02  03  50  02500
2021-01-02  1  250  100
2021-01-02  1  500  100
2021-01-04  4  10  50000
2021-01-05  1  10  100

2021-01-06  1  10  100
2021-
2021-01-06  2  40  200
2021-01-06  5  100  100
2021-01-06  1  10  100
2021-01-08  6  2  10000
2021-01-08  7  1  5000
2021-01-09  1  10  A100
2021-01-09  2  10  200
2021-01-09  8  1000  100
2021-01-09  1  250  100

2021-01-09  1  250  100
2021-01-13  9  5  100000
2021-01-20  9  4  100000
2021-01-25  10  1  100
2021-01-25  1  100  100
2021-02-01  11  10  25000
2021-02-04  1  100  100
2021-02-04  12  1  100
2021-02-08  13  1  1000000
2021-02-09  1  100  100
2021-02-10  2  50  200
2021-02-11  3  150  2500
2021-02-12  4  50  50000
2021-02-13  5  50  100
2021-02-15  9  50  110000

2020-12-15  9  50  110000

2021-02-17  13  10  1000000
2021-02-21  14  1  10000
2021-02-23  15  1  10000
2021-03-04  13  10  1000000
2021-03-07  1  100  100
2021-03-10  6  2  10000
2021-03-11  8  2000  100
2021-03-11  1  100  100
2021-03-15  1  100  100
2021-03-21  12  1  100

2021-03-21  12  1  100
